postal_code,overall_score,notable_qualities,other_awards,carbon_emissions
307591,23,,,267.543
249724,20,,,249.94
48943,75,,,148.753
69532,17,,,156.657
179433,24,,,139.87
98585,83,,,469.05
409286,10,,,158.153
588177,73,,,127.74
179369,90,,,136.033
339946,87,,,137.753
59764,97,,,136.66
188553,67,,,216.283
168733,1,,,228.437
69535,51,,,134.033
39393,97,,,353.177
199555,93,,,125.64
48542,49,,,213.817
159963,60,,,222.587
117612,52,,,141.573
99253,97,,,214.0
188537,32,,,237.803
329813,17,,,60.477
189673,35,,,229.8
69540,15,,,273.68
59413,47,,,331.14
68898,34,,,170.153
238841,80,,,193.93
238697,29,,,107.187
439053,21,,,101.6
39803,50,,,347.187
68876,81,,,312.963
179434,87,,,127.09
769098,65,,,571.443
169631,62,,,177.87
69542,39,,,168.83
328836,22,,,138.607
238880,70,,,252.627
48621,31,,,244.81
238895,96,,,487.17
48623,79,,,244.59
529508,3,,,336.887
608546,27,,,231.5
579838,32,,,722.547
69046,73,,,158.86
48583,88,,,244.317
179094,84,,,122.933
207704,29,,,717.103
229833,9,,,127.247
609916,99,,,107.557
68896,69,,,142.757
159943,97,,,84.19
238163,8,,,250.827
228231,82,,,112.05
89763,49,,,143.193
238867,63,,,203.88
238875,53,,,148.51
188778,12,,,224.96
48545,7,,,115.87
579700,96,,,39.24
18971,95,,,280.503
429979,36,,,233.08
68807,6,,,316.947
68804,32,,,287.96
239924,67,,,169.657
238871,92,,,175.533
48580,17,,,238.63
698928,81,,,98.077
329543,88,,,271.923
117438,92,,,151.197
437844,33,,,225.833
58268,27,,,242.15
238877,32,,,358.373
189621,21,,,172.877
238884,33,,,369.473
149053,24,,,319.637
188425,16,,,231.773
228149,35,,,236.04
169875,22,,,211.823
609925,33,,,1060.593
18981,83,,,187.997
486040,95,,,471.133
98679,21,,,463.543
569814,36,,,403.867
129905,91,,,305.97
258352,78,,,92.527
199001,65,,,222.957
338730,21,,,112.357
239519,100,,,131.713
238463,78,,,169.917
48980,9,,,209.987
237983,27,,,290.743
179809,97,,,174.213
98297,3,,,307.39
68902,88,,,178.317
79904,11,,,139.973
189559,76,,,281.717
228210,24,,,360.967
228518,19,,,251.077
247905,64,,,232.727
178879,24,,,146.77
59725,39,,,135.667
169854,95,,,110.237
49709,17,,,281.02
188974,34,,,203.327
49908,24,,,343.08
48581,38,,,249.937
49319,24,,,181.703
169879,49,,,324.923
69545,62,,,186.24
609914,40,,,111.843
169075,72,,,199.387
89057,33,,,159.18
486066,62,,,130.67
247909,22,,,203.28
188504,65,,,323.513
88539,79,,,323.21
99394,83,,,308.883
178881,78,,,302.327
428769,17,,,147.99
59804,90,,,220.093
228211,65,,,196.793
609917,21,,,222.433
49483,76,,,181.76
238801,64,,,449.693
178892,91,,,226.18
217564,79,,,486.84
59573,98,,,253.337
117611,1,,,274.223
228209,24,,,458.11
68877,84,,,115.31
258350,63,,,327.783
49513,63,,,190.627
49479,65,,,386.227
49514,66,,,178.007
768794,23,,,449.973
486041,96,,,155.577
138562,77,,,316.433
138577,90,,,275.433
79906,80,,,139.443
238856,35,,,109.877
138588,100,,,197.047
486005,62,,,110.473
486028,97,,,180.87
188933,32,,,236.687
689812,63,,,511.047
609915,62,,,772.397
609928,35,,,1196.323
189558,27,,,250.037
78867,33,,,320.12
229617,41,,,278.307
229635,52,,,269.157
58289,94,,,300.097
680623,67,,,448.05
608531,92,,,326.637
118225,71,,,256.94
118255,75,,,471.927
118260,58,,,55.863
118261,49,,,186.56
138543,92,,,22.73
138665,64,,,311.157
574408,28,,,439.44
79117,92,,,125.313
118536,39,,,190.693
139965,25,,,159.783
268802,23,,,283.627
529540,15,,,160.813
529541,4,,,196.843
169629,64,,,268.03
169078,95,,,450.04
49481,73,,,324.987
229572,70,,,204.87
188735,1,,,298.19
428788,99,,,229.103
68895,65,,,208.31
117610,47,,,316.543
117586,59,,,742.447
486073,56,,,112.037
486051,64,,,95.303
486025,70,,,150.643
486036,71,,,220.14
486026,28,,,332.457
486058,46,,,181.227
486029,88,,,313.463
575701,87,,,295.807
219428,9,,,215.577
189677,96,,,156.497
238879,79,,,339.387
188018,4,,,217.7
168732,89,,,364.893
518457,95,,,546.223
138547,67,,,286.463
609081,73,,,200.93
88762,81,,,226.387
258510,91,,,91.52
49907,8,,,340.787
79908,79,,,195.803
589472,28,,,180.09
68911,63,,,180.54
78884,96,,,275.497
679910,74,,,73.66
48424,61,,,141.383
329727,39,,,321.083
49315,96,,,198.79
59724,99,,,203.59
39594,54,,,182.2
188980,48,,,389.68
219924,12,,,369.233
298135,6,,,194.01
486854,37,,,923.25
59763,3,,,214.683
307683,78,,,369.893
329560,82,,,332.083
428766,31,,,67.367
249715,72,,,259.937
239693,67,,,237.31
499867,89,,,137.87
238881,65,,,213.92
88756,15,,,349.463
238868,68,,,248.14
228208,69,,,346.563
529510,77,,,504.547
208533,81,,,171.167
228221,70,,,232.267
49323,10,,,505.953
99538,38,,,245.92
237995,16,,,254.657
486150,79,,,86.093
609920,37,,,78.597
68907,31,,,122.583
509866,13,,,40.933
238993,50,,,325.463
238995,41,,,106.513
238997,60,,,77.0
238999,50,,,42.967
239001,49,,,140.74
239002,60,,,118.17
228241,6,,,180.73
534626,69,,,136.527
278997,43,,,482.677
609431,90,,,73.073
609434,97,,,138.037
139961,3,,,143.257
138632,91,,,208.43
138667,71,,,660.42
138634,96,,,506.88
138635,92,,,297.733
138636,91,,,1125.53
238865,67,,,237.41
498760,33,,,29.917
545078,64,,,535.33
319639,3,,,49.96
529284,26,,,338.12
59811,13,,,84.813
359340,22,,,49.833
39596,62,,,279.247
39190,80,,,183.613
48622,97,,,50.63
187948,28,,,575.283
530205,1,,,550.2
307987,87,,,154.923
79903,79,,,155.743
68602,13,,,206.37
169632,92,,,223.987
69533,97,,,106.777
99891,2,,,478.01
49247,55,,,195.913
238855,96,,,241.603
49711,8,,,245.197
228796,3,,,283.907
229469,67,,,152.35
486031,62,,,35.1
529483,35,,,220.933
528833,97,,,451.563
188647,61,,,170.387
189557,14,,,271.877
237994,25,,,212.95
238883,28,,,273.81
238876,5,,,157.967
119962,15,,,135.037
797653,62,,,639.693
486006,9,,,70.433
238857,35,,,294.843
48616,62,,,193.953
89058,31,,,146.82
249716,75,,,260.553
69538,1,,,165.563
249564,53,,,66.523
149599,32,,,35.713
138675,98,,,200.98
118221,6,,,319.853
519599,63,,,415.76
528799,45,,,249.837
119963,73,,,219.62
229921,81,,,203.627
609926,29,,,922.48
179098,64,,,179.753
179020,48,,,560.593
228516,69,,,133.08
200809,68,,,117.28
50336,36,,,244.19
750511,74,,,421.62
127371,3,,,412.65
329802,1,,,225.64
287994,36,,,153.253
689578,45,,,619.917
127367,11,,,81.17
307506,17,,,535.167
199020,93,,,225.507
208767,80,,,362.68
209530,14,,,342.943
189623,79,,,225.203
189627,73,,,331.437
424780,26,,,219.263
329901,38,,,494.94
49317,38,,,226.537
608549,97,,,325.793
189649,18,,,260.12
228242,69,,,229.743
329982,64,,,559.343
538692,12,,,910.86
239695,39,,,352.337
229233,20,,,293.083
533971,21,,,276.763
48659,86,,,158.177
428802,30,,,278.323
259366,12,,,24.523
398007,3,,,111.957
609929,30,,,132.853
249720,4,,,207.847
58727,10,,,174.92
159052,66,,,114.763
179869,69,,,86.5
539540,20,,,82.907
574421,14,,,48.503
409074,20,,,132.947
649696,27,,,48.14
159053,6,,,171.02
648172,33,,,88.22
68892,24,,,276.38
179804,71,,,214.157
208511,5,,,112.907
217562,83,,,365.137
239920,27,,,481.28
119960,6,,,5.833
138639,61,,,116.567
49246,28,,,178.46
538832,15,,,268.7
238840,15,,,155.15
159047,20,,,248.98
189646,6,,,125.867
159972,28,,,106.68
179360,69,,,185.04
159953,21,,,557.407
169565,98,,,57.38
79909,12,,,194.623
58357,70,,,194.523
58416,45,,,243.463
38983,65,,,276.027
238862,40,,,149.9
609958,34,,,48.377
207569,15,,,246.577
138522,93,,,171.003
588179,63,,,142.72
48624,74,,,265.937
69544,2,,,151.72
119954,79,,,720.997
529539,34,,,1457.427
199598,2,,,313.81
150168,89,,,147.56
310490,97,,,220.09
118257,22,,,140.49
118258,32,,,185.867
118259,12,,,620.877
208581,74,,,133.117
68914,95,,,156.463
428778,44,,,105.527
409051,74,,,235.443
69110,16,,,141.027
188969,95,,,188.94
569663,52,,,419.987
469661,55,,,305.17
228233,63,,,176.6
399849,11,,,347.063
68805,15,,,154.527
209037,25,,,310.017
579702,14,,,57.293
39802,91,,,244.977
188994,76,,,254.733
238869,78,,,517.117
88765,16,,,256.013
119614,97,,,131.48
129588,68,,,612.423
238859,41,,,356.8
409179,29,,,337.433
667970,67,,,101.22
18960,85,,,162.19
98499,76,,,386.183
228230,99,,,235.003
88934,4,,,182.55
608516,82,,,230.913
98269,99,,,428.317
238843,13,,,306.617
467360,99,,,633.24
49321,61,,,282.843
238164,73,,,157.23
506969,46,,,267.58
68811,89,,,144.577
199591,62,,,241.07
79914,96,,,193.353
678278,50,,,747.603
588996,68,,,356.663
188973,47,,,443.463
149073,36,,,183.06
574029,32,,,55.247
545064,34,,,53.247
528777,25,,,162.327
408827,17,,,163.8
658072,27,,,171.12
649734,33,,,116.67
649735,35,,,88.6
768774,18,,,193.993
569933,77,,,461.575
159971,52,,,555.147
169662,83,,,186.987
48619,97,,,189.643
59567,82,,,163.367
208539,94,,,368.707
486037,76,,,243.173
68809,61,,,174.42
420001,82,,,199.83
730548,65,,,455.997
100108,19,,,155.01
49145,76,,,205.87
18961,89,,,191.817
49909,85,,,159.487
49320,86,,,167.12
68912,82,,,237.883
68899,29,,,245.43
758459,69,,,447.783
247729,93,,,149.967
169633,87,,,239.65
207606,29,,,205.983
218675,1,,,187.537
117867,7,,,325.513
275983,26,,,156.713
69118,95,,,147.28
48423,62,,,179.167
139944,98,,,512.03
159835,32,,,235.657
248922,29,,,93.1
449269,99,,,301.847
178906,37,,,500.257
486032,6,,,79.447
79912,91,,,199.92
58282,25,,,350.477
49705,12,,,76.523
189768,96,,,291.227
610399,63,,,395.743
99958,63,,,211.923
319394,38,,,2.66
738099,87,,,463.45
419734,30,,,83.01
189685,36,,,269.57
69543,16,,,134.573
658713,66,,,462.163
48692,30,,,142.593
48693,27,,,190.843
69546,31,,,112.517
238851,62,,,300.823
398008,12,,,86.983
119975,5,,,162.097
98632,96,,,140.297
528523,93,,,210.527
468981,73,,,108.583
677899,38,,,444.993
556679,36,,,752.05
228095,38,,,253.887
209000,4,,,124.26
189971,82,,,203.6
59432,62,,,272.277
508502,9,,,207.767
449536,51,,,206.56
48472,3,,,477.973
208718,37,,,340.383
89760,11,,,112.64
738973,82,,,43.75
98829,30,,,82.827
397799,4,,,179.997
828761,75,,,551.143
118176,14,,,43.875
648171,90,,,87.55
677743,78,,,573.393
819664,59,,,213.637
119958,87,,,119.66
308899,22,,,379.037
648886,99,,,484.26
238909,59,,,388.77
68900,8,,,152.597
238823,30,,,145.51
229616,61,,,435.79
257854,28,,,155.04
68893,5,,,211.32
218184,28,,,124.61
257878,34,,,264.513
159049,33,,,67.743
248371,68,,,410.753
58281,98,,,191.647
486038,74,,,467.89
730900,95,,,212.31
238910,69,,,417.887
99951,20,,,202.07
18935,84,,,111.123
119595,19,,,98.473
248163,68,,,220.447
228213,77,,,320.13
98374,98,,,380.81
238896,3,,,703.577
218227,80,,,105.61
239732,27,,,350.65
48658,34,,,271.607
529536,71,,,445.86
529509,97,,,397.643
538766,40,,,570.1
69547,84,,,122.74
228220,63,,,247.33
78862,88,,,254.85
259708,27,,,214.68
168937,95,,,157.297
609517,10,,,38.337
49910,68,,,160.247
138637,64,,,161.41
609079,47,,,83.173
189630,35,,,173.763
89109,33,,,285.153
528729,74,,,178.177
247933,28,,,475.743
59765,27,,,173.797
238889,63,,,181.89
238839,69,,,379.547
247911,76,,,364.09
307964,23,,,225.84
187996,58,,,213.963
199588,6,,,159.053
138649,11,,,112.987
139964,16,,,1941.873
529653,73,,,189.38
248646,58,,,276.683
179934,45,,,96.7
229835,12,,,226.117
69536,40,,,183.41
179803,93,,,146.503
228218,40,,,98.4
48946,85,,,170.633
238259,94,,,349.24
178880,92,,,129.02
419715,1,,,143.293
680309,7,,,182.257
