postal_code,address,building_name,building_function,latitude,longitude
307591,"101 THOMSON ROAD, SINGAPORE 307591",UNITED SQUARE,Mixed Development,,
249724,"50 CUSCADEN ROAD, SINGAPORE 249724",HPL HOUSE,Office,,
48943,"137 MARKET STREET, SINGAPORE 048943",GRACE GLOBAL RAFFLES,Office,,
69532,"100 CECIL STREET, SINGAPORE 069532",THE GLOBE,Office,,
179433,"77 HIGH STREET, SINGAPORE 179433",HIGH STREET PLAZA,Office,,
98585,"1 HARBOURFRONT WALK, SINGAPORE 098585",VIVO CITY,Retail,,
409286,"810 GEYLANG ROAD, SINGAPORE 409286",CITY PLAZA,Retail,,
588177,"144 UPPER BUKIT TIMAH ROAD, SINGAPORE 588177",BEAUTY WORLD CENTRE,Retail,,
179369,"140 HILL STREET, SINGAPORE 179369",OLD HILL STREET POLICE STATION,Office,,
339946,"1500 BENDEMEER ROAD, SINGAPORE 339946",MINISTRY OF MANPOWER SERVICES CENTRE,Office,,
59764,"18 HAVELOCK ROAD, SINGAPORE 059764",MINISTRY OF MANPOWER BUILDING,Office,,
188553,"12 QUEEN STREET, SINGAPORE 188553",HOTEL ROYAL @ QUEENS,Hotel,,
168733,"50 TIONG BAHRU ROAD, SINGAPORE 168733",,Hotel,,
69535,"133 CECIL STREET, SINGAPORE 069535",KECK SENG TOWER,Office,,
39393,"1 RAFFLES LINK, SINGAPORE 039393",ONE RAFFLES LINK,Office,,
199555,"300 BEACH ROAD, SINGAPORE 199555",THE CONCOURSE,Office,,
48542,"1 ROBINSON ROAD, SINGAPORE 048542",AIA TOWER,Office,,
159963,"371 ALEXANDRA ROAD, SINGAPORE 159963",AIA ALEXANDRA,Office,,
117612,"20 HARBOUR DRIVE, SINGAPORE 117612",,Office,,
99253,"1 MARITIME SQUARE, SINGAPORE 099253",HARBOURFRONT CENTRE,Office,,
188537,"15 QUEEN STREET, SINGAPORE 188537",TAN CHONG TOWER,Office,,
329813,"432 BALESTIER ROAD, SINGAPORE 329813",PUBLIC MANSIONS,Mixed Development,,
189673,"1 BEACH ROAD, SINGAPORE 189673",RAFFLES HOTEL,Hotel,,
69540,"140 CECIL STREET, SINGAPORE 069540",PIL BUILDING,Office,,
59413,"133 NEW BRIDGE ROAD, SINGAPORE 059413",CHINATOWN POINT,Mixed Development,,
68898,"80 ROBINSON ROAD, SINGAPORE 068898",,Office,,
238841,"150 ORCHARD ROAD, SINGAPORE 238841",ORCHARD PLAZA,Retail,,
238697,"9 OXLEY RISE, SINGAPORE 238697",THE OXLEY,Office,,
439053,"90 GOODMAN ROAD, SINGAPORE 439053",GOODMAN ARTS CENTRE,Office,,
39803,"30 RAFFLES AVENUE, SINGAPORE 039803",SINGAPORE FLYER,Retail,,
68876,"35 ROBINSON ROAD, SINGAPORE 068876",SO SOFITEL SINGAPORE,Hotel,,
179434,"100 HIGH STREET, SINGAPORE 179434",THE TREASURY,Office,,
769098,"930 YISHUN AVENUE 2, SINGAPORE 769098",,Retail,,
169631,"401 HAVELOCK ROAD, SINGAPORE 169631",HOTEL MIRAMAR,Hotel,,
69542,"143 CECIL STREET, SINGAPORE 069542",GB BUILDING,Office,,
328836,"81 KIM KEAT ROAD, SINGAPORE 328836",NKF CENTRE,Office,,
238880,"501 ORCHARD ROAD, SINGAPORE 238880",WHEELOCK PLACE,Mixed Development,,
48621,"24 RAFFLES PLACE, SINGAPORE 048621",CLIFFORD CENTRE,Office,,
238895,"313 ORCHARD ROAD, SINGAPORE 238895",313 @ SOMERSET,Retail,,
48623,"50 RAFFLES PLACE, SINGAPORE 048623",SINGAPORE LAND TOWER,Office,,
529508,"1 TAMPINES CENTRAL 5, SINGAPORE 529508",CPF TAMPINES BUILDING,Office,,
608546,"21 JURONG GATEWAY ROAD, SINGAPORE 608546",CPF JURONG BUILDING,Office,,
579838,"3 BISHAN PLACE, SINGAPORE 579838",CPF BISHAN BUILDING,Office,,
69046,"20 MCCALLUM STREET, SINGAPORE 069046",TOKIO MARINE CENTRE,Office,,
48583,"1 RAFFLES QUAY, SINGAPORE 048583",,Office,,
179094,"1 NORTH BRIDGE ROAD, SINGAPORE 179094",HIGH STREET CENTRE,Office,,
207704,"145 SYED ALWI ROAD, SINGAPORE 207704",MUSTAFA CENTRE,Retail,,
229833,"75 BUKIT TIMAH ROAD, SINGAPORE 229833",BOON SIEW BUILDING,Office,,
609916,"25 INTERNATIONAL BUSINESS PARK, SINGAPORE 609916",GERMAN CENTRE,Office,,
68896,"77 ROBINSON ROAD, SINGAPORE 068896",ROBINSON 77,Office,,
159943,"307 ALEXANDRA ROAD, SINGAPORE 159943",MITSUBISHI ELECTRIC BUILDING,Office,,
238163,"96 SOMERSET ROAD, SINGAPORE 238163",,Hotel,,
