buildingname,buildingaddress,buildingtype,mainbuildingfunction,buildingsize,yearobtainedtopcsc,greenmarkrating,greenmarkyearofaward,greenmarkversion,grossfloorarea,percentageofairconditionedfloorarea,averagemonthlybuildingoccupancyrate,numberofhotelrooms,typeofairconditioningsystem,ageofchiller,centralisedairconditioningplantefficiency,yearoflastchillerplantaudithealthcheck,percentageusageofled,installationofsolarpv,2017,2018,2019,2020
UNITED SQUARE,"101 THOMSON ROAD, SINGAPORE 307591",Commercial Building,Mixed Development,Large,1984,N/A,N/A,N/A,"65,947",93%,90%,N/A,Water Cooled Chilled Water Plant,12,0.68,2019,2%,N,281.32,276.83,274.91,250.89
HPL HOUSE,"50 CUSCADEN ROAD, SINGAPORE 249724",Commercial Building,Office,Small,1980,N/A,N/A,N/A,"7,372",97%,90%,N/A,Others,2,N/A,N/A,80%,N,277.93,268.76,264.79,216.27
GRACE GLOBAL RAFFLES,"137 MARKET STREET, SINGAPORE 048943",Commercial Building,Office,Small,2011,GoldPlus,2010,New Building for Non-Residential buildings (version 3),"5,030",80%,97%,N/A,Others,9,N/A,N/A,20%,N,171.16,165.32,165.52,115.42
THE GLOBE,"100 CECIL STREET, SINGAPORE 069532",Commercial Building,Office,Small,1993,N/A,N/A,N/A,"5,824",70%,58%,N/A,Others,0,N/A,N/A,30%,N,185.64,168.50,163.46,138.01
HIGH STREET PLAZA,"77 HIGH STREET, SINGAPORE 179433",Commercial Building,Office,Small,1975,N/A,N/A,N/A,"10,418",100%,90%,N/A,Water Cooled Chilled Water Plant,38,0.8,2020,90%,N,158.37,140.95,149.12,129.54
VIVO CITY,"1 HARBOURFRONT WALK, SINGAPORE 098585",Commercial Building,Retail,Large,2006,Platinum,2019,Existing Building for Non-Residential buildings (version 3),"142,853",95%,98%,N/A,Water Cooled Chilled Water Plant,7,0.79,2016,0%,N,531.39,510.81,502.30,394.04
CITY PLAZA,"810 GEYLANG ROAD, SINGAPORE 409286",Commercial Building,Retail,Large,1981,N/A,N/A,N/A,"33,782",71%,90%,N/A,Water Cooled Chilled Water Plant,13,N/A,N/A,97%,Y,178.25,169.84,162.81,141.81
BEAUTY WORLD CENTRE,"144 UPPER BUKIT TIMAH ROAD, SINGAPORE 588177",Commercial Building,Retail,Large,1979,GoldPlus,2018,Existing Building for Non-Residential buildings (version 3),"42,262",43%,97%,N/A,Water Cooled Chilled Water Plant,0,0.58,2018,17%,N,162.98,124.19,134.83,124.20
OLD HILL STREET POLICE STATION,"140 HILL STREET, SINGAPORE 179369",Commercial Building,Office,Large,2002,Platinum,2020,Existing Building for Non-Residential buildings (version 3),"26,137",93%,80%,N/A,Water Cooled Chilled Water Plant,2,0.59,2020,26%,Y,209.04,134.03,143.67,130.40
MINISTRY OF MANPOWER SERVICES CENTRE,"1500 BENDEMEER ROAD, SINGAPORE 339946",Commercial Building,Office,Large,2012,Platinum,2018,Existing Building for Non-Residential buildings (version 3),"27,069",61%,100%,N/A,Water Cooled Chilled Water Plant,6,0.62,2018,95%,Y,132.75,131.69,136.06,145.51
